"Spores" "Haustoria" "X2dpi" "X5dpi" ""
"PCA_NC_00246" -1.0630724558725 1.4908418144775 1.4491456337875 -1.8769149923925 1
"PCA_NC_00357" -1.1734716029575 2.1952747034525 -0.7293962982275 -0.2924068022675 1
"PCA_NC_00234" -1.3165525375225 0.526822474507501 0.1075016508075 0.6822284122075 1
"PCA_NC_00292" -0.1974816898625 1.3988555979675 0.2045859928575 -1.4059599009625 1
"PCA_NC_00461" -0.4391750077825 1.2952020506075 -0.384601234702499 -0.4714258081225 1
"PCA_NC_00472" -1.52929442275 0.787946214149999 0.62626217625 0.11508603235 1
"PCA_NC_00829" -2.8958682417525 1.1477714848875 1.3545427207875 0.3935540360775 1
"PCA_NC_00786" -0.0410076481800008 3.02730405759 -1.22472657762 -1.76156983179 1
"PCA_NC_00832" -1.1330167298025 2.6470321272075 -0.6173058431925 -0.8967095542125 1
"PCA_NC_00720" -1.9445086954031 2.7461440860569 -0.2077790331641 -0.5938563574897 1
"PCA_NC_00928" -0.914707044325 1.134137233075 -0.312003927025 0.092573738275 1
"PCA_NC_00975" -0.4489260572375 0.4999745874225 -1.3442951535675 1.2932466233825 1
"PCA_NC_00967" -1.596011139975 0.0874755608250002 1.206712001125 0.301823578024999 1
"PCA_NC_01417" -2.1566895840025 2.5611349679275 0.216679271897499 -0.6211246558225 1
"PCA_NC_01372" -0.0223149126699997 -0.40189401151 1.62020783448 -1.1959989103 1
"PCA_NC_01063" -1.15588410646438 1.74514422974562 0.148042371137125 -0.737302494418375 1
"PCA_NC_01074" -0.9448762858195 2.2176128904755 0.2113358861055 -1.4840724907615 1
"PCA_NC_02578" -2.52439185237 1.66184324539 0.73955647969 0.122992127289999 1
"PCA_NC_01854" -0.8675192822555 -0.6546856308255 0.2116027189295 1.3106021941515 1
"PCA_NC_01752" -1.08209712234925 0.07937222346075 0.02237283982775 0.98035205906075 1
"PCA_NC_02421" -2.1454568673285 2.1122850037515 -0.4647767660745 0.4979486296515 1
"PCA_NC_03060" -2.74051917832 1.81858310203 0.49872066191 0.42321541438 1
"PCA_NC_01944" -0.711071164797501 0.0527579982424999 -0.355190646117499 1.0135038126725 1
"PCA_NC_01950" -0.334967496647501 2.1918456272025 -0.8188841831575 -1.0379939473975 1
"PCA_NC_01958" -2.0805430519075 3.7117842410225 -0.1579210389375 -1.4733201501775 1
"PCA_NC_01906" -0.984297966825 2.656071191945 -0.216586908955001 -1.455186316165 1
"PCA_NC_01964" -1.0991049415075 2.0841018936025 -0.4836550623975 -0.5013418896975 1
"PCA_NC_02826" -1.1199208671425 2.1701429967875 1.1288375543975 -2.1790596840425 1
"PCA_NC_02859" -0.3843305823 1.28028842555 -0.91446452628 0.01850668303 1
"PCA_NC_02800" -2.781789305141 1.968383725507 -0.347945253163 1.161350832797 1
"PCA_NC_02811" -0.9013422097875 2.4570315265125 -1.3110796831075 -0.2446096336175 1
"PCA_NC_01638" -2.50993816655 1.66957233896 0.02848717766 0.81187864993 1
"PCA_NC_01645" -3.2361217172075 1.0679788605125 1.1072090564325 1.0609338002625 1
"PCA_NC_01527" -1.464061360339 3.099157808682 -0.281735813368 -1.353360634975 1
"PCA_NC_01502" -1.1287326668875 1.5562027885125 0.0758251193124995 -0.503295240937501 1
"PCA_NC_03463" -0.5949621417775 1.1577795039325 -1.7310171915875 1.1681998294325 1
"PCA_NC_04052" -1.5997268486475 3.8027462713325 0.0591796370625 -2.2621990597475 1
"PCA_NC_04083" -1.4500205427435 0.0517141539345 -0.1059688023075 1.5042751911165 1
"PCA_NC_01974" -1.1639152593115 -0.4745042597135 1.0689851292575 0.5694343897675 1
"PCA_NC_01999" -2.60185647932 0.604131281540001 0.0931239616399999 1.90460123614 1
"PCA_NC_01997" -2.108999757435 3.114220453115 -1.629629592855 0.624408897175 1
"PCA_NC_03902" -1.785563417212 0.029111923366 1.224902620948 0.531548872898 1
"PCA_NC_03923" -1.24138195313775 0.91968027145925 0.03971636704925 0.28198531462925 1
"PCA_NC_02197" -2.25289484982025 2.88997426519975 0.45249944197975 -1.08957885735925 1
"PCA_NC_04591" -0.8591672883 0.7546798897 0.552710982999999 -0.448223584400001 1
"PCA_NC_02084" -0.8273062254625 2.3826867480375 -1.0939924188425 -0.4613881037325 1
"PCA_NC_03236" -1.502433610775 1.676767034535 -0.136068526055 -0.038264897705 1
"PCA_NC_02497" -1.225114006002 0.11120220745 -0.04716652903 1.161078327582 1
"PCA_NC_02504" -2.73062919257 2.11278224769 0.31852808739 0.29931885749 1
"PCA_NC_02743" -1.363466095175 0.777790507624999 0.311130612825 0.274544974725 1
"PCA_NC_02749" 0.61755222846 2.87586790763 -1.27588323032 -2.21753690577 1
"PCA_NC_02730" -2.5046006560755 2.2498104560685 -0.3825757938015 0.6373659938085 1
"PCA_NC_05920" -1.993794049205 2.824289637005 0.223878068405 -1.054373656205 1
"PCA_NC_05914" -1.483401516375 1.361931617785 -0.110792060345 0.232261958935 1
"PCA_NC_05913" -2.7642264792375 2.1001869778025 0.655720534892501 0.00831896654249942 1
"PCA_NC_05689" -3.108708391805 0.316270466545 1.744938273085 1.047499652175 1
"PCA_NC_05712" -0.921557480845 2.703857148225 -1.241285320945 -0.541014346435 1
"PCA_NC_05360" -1.9721210325375 3.5247825850625 -0.241011789937501 -1.3116497625875 1
"PCA_NC_05353" -0.3752597865425 2.1557866312975 0.7455902429175 -2.5261170876725 1
"PCA_NC_05359" -1.81599188866 3.90960397443 -0.504947702340001 -1.58866438343 1
