Geneid,GS1,GS2,GS3,IT21,IT22,IT23,IT51,IT52,IT53,HS1,HS2,HS3
PCA_NC_00225,4,0,0,4,0,0,397,347,289,28,10,32
PCA_NC_00224,1915,1781,1257,92,58,79,1455,1577,1529,1270,3479,3687
PCA_NC_00223,7,10,0,0,2,0,18,7,26,0,14,7
PCA_NC_00222,1012,1123,993,0,0,1,34,49,20,41,124,156
PCA_NC_00221,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00220,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00443,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00442,0,0,0,0,0,0,0,0,0,2,4,2
PCA_NC_00441,332,296,257,86,68,101,930,808,810,1040,1825,1936
PCA_NC_00440,450,464,683,14,14,14,260,212,254,125,454,434
PCA_NC_00353,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00352,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00351,0,0,0,0,0,0,0,0,2,0,0,0
PCA_NC_00350,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00357,4,2,4,2,0,0,14,6,6,55,68,157
PCA_NC_00356,5,5,6,0,0,0,4,0,0,4,12,2
PCA_NC_00355,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00354,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00359,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00254,0,0,0,0,0,0,0,0,0,0,0,2
PCA_NC_00255,550,624,370,555,487,608,2877,2509,2596,1570,1309,1603
PCA_NC_00252,3696,3374,3424,140,104,148,1660,1577,1573,4210,4383,4767
PCA_NC_00253,0,0,0,0,0,0,2,2,0,0,0,0
PCA_NC_00250,1739,1678,1660,142,124,196,1504,1475,1587,636,1746,2063
PCA_NC_00251,1025,991,872,87,92,122,1226,1117,1151,135,751,864
PCA_NC_00438,2,12,8,28,24,32,178,158,172,12020,7108,7964
PCA_NC_00439,5211,4497,4338,93,92,147,1407,1276,1282,1418,2053,2745
PCA_NC_00358,0,0,0,0,0,0,0,0,0,0,0,0
PCA_NC_00328,3491,3306,3085,147,120,162,2161,2157,2181,1254,2842,3616
PCA_NC_00329,2449,2196,2066,202,212,258,2460,2290,2236,4267,5007,5460
PCA_NC_00322,0,0,0,0,0,0,10,2,12,10,17,67
PCA_NC_00323,2,8,12,0,0,0,4,10,6,16,36,46
PCA_NC_00320,4806,4539,3608,4302,3984,5572,34413,33261,32291,276405,315438,335917
PCA_NC_00321,0,0,0,2,0,0,3497,3141,2380,358,282,325
PCA_NC_00326,0,4,2,0,0,0,16,14,12,94,82,14
PCA_NC_00327,0,0,2,0,0,0,6,0,2,39,155,132
PCA_NC_00324,5067,4607,4432,216,272,314,4141,3825,3788,2668,3838,4668
PCA_NC_00325,0,0,0,0,0,0,0,0,0,2,17,6
PCA_NC_00249,11318,10570,10780,115,107,151,1709,1630,1687,212,963,1030
PCA_NC_00248,3188,2755,2707,27,32,51,607,539,538,695,842,1066
PCA_NC_00289,1860,1618,1442,296,256,278,2749,2734,2488,3501,3414,3583
PCA_NC_00285,4628,4256,4269,451,303,462,2834,2860,2637,3507,4741,5236
PCA_NC_00284,1485,1482,1529,158,98,133,1370,1431,1418,2303,2944,2936
PCA_NC_00287,4035,3711,3292,215,238,316,3686,3531,3263,3936,4368,4963
PCA_NC_00286,0,2,2,0,2,2,26855,28899,29101,897,2328,2534
PCA_NC_00280,0,0,0,0,0,0,0,2,0,0,0,0
PCA_NC_00282,0,0,0,0,0,0,0,0,0,0,0,4
