Geneid,GS1,GS2,GS3,IT21,IT22,IT23,IT51,IT52,IT53,HS1,HS2,HS3
PCA_SD_11940,2,2,0,0,0,0,4,4,0,0,2,0
PCA_SD_11941,259,214,270,21,21,19,340,414,409,77,665,56
PCA_SD_11942,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11943,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11944,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11945,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11946,0,0,0,0,1,0,6740,7926,6572,20,4,3
PCA_SD_11947,207,252,276,26,89,54,1334,1624,1237,1604,400,1349
PCA_SD_11948,1051,1156,1663,437,874,758,12134,14681,10728,33625,6756,29447
PCA_SD_11949,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11919,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11966,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11967,162,207,235,2,0,0,26,28,14,0,6,2
PCA_SD_11964,0,0,0,0,0,0,0,0,0,0,2,0
PCA_SD_11965,0,0,0,0,0,0,0,0,0,0,0,6
PCA_SD_11962,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11963,9,6,8,0,0,0,0,4,5,35,10,36
PCA_SD_11960,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11961,2,0,0,0,0,0,0,0,2,0,0,0
PCA_SD_11935,10,15,26,12,9,6,62,74,70,46,131,51
PCA_SD_11934,18,22,26,2,2,7,82,102,82,614,125,486
PCA_SD_11937,18,26,24,2,0,0,36,61,33,14,41,60
PCA_SD_11936,4,3,7,0,0,2,26,39,18,9,45,6
PCA_SD_11931,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11930,0,0,0,0,0,0,0,0,0,1,2,1
PCA_SD_11933,163,197,198,266,532,408,8664,10650,8755,166,104,252
PCA_SD_11932,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_11939,0,0,0,0,0,0,2,2,0,10,16,0
PCA_SD_11938,112,126,159,21,44,14,546,669,477,977,521,672
PCA_SD_10067,887,1000,1370,40,76,70,1085,1219,1084,253,368,281
PCA_SD_10068,0,0,0,38,23,20,86,116,95,921,916,1148
PCA_SD_10069,67,88,67,0,4,3,356,369,358,20,16,8
PCA_SD_10103,2,6,3,6,8,10,6179,7192,7286,125,41,73
PCA_SD_10102,1040,1102,1282,1319,2417,2203,24469,24375,22779,30242,12722,28697
PCA_SD_10101,2278,2530,2819,1610,2850,2392,27953,29380,26606,52936,12872,50297
PCA_SD_10100,0,0,0,0,0,0,0,0,0,44,34,16
PCA_SD_10106,0,0,0,0,0,0,0,0,0,0,0,3
PCA_SD_10105,0,0,0,0,0,0,0,0,0,0,0,2
PCA_SD_10104,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_10099,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_10098,0,0,0,0,0,0,0,0,0,6,0,0
PCA_SD_10095,196,197,199,8,13,20,314,375,325,207,77,226
PCA_SD_10094,165,208,239,6,7,14,292,327,256,66,68,62
PCA_SD_10097,1184,1269,1721,162,296,303,5062,7182,4972,9801,2618,8068
PCA_SD_10096,1574,1747,2081,60,50,52,2073,2363,2264,658,2258,342
PCA_SD_10091,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_10090,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_10093,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_10092,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_10073,0,0,0,6,8,4,28,38,37,59,5,11
PCA_SD_10072,2424,2743,2896,30,69,56,1513,2083,1520,2388,990,2109
PCA_SD_10071,34,49,41,16,41,26,132,220,152,3747,3334,4205
PCA_SD_10070,278,314,321,56,96,104,1173,1524,1031,221,131,152
PCA_SD_10077,0,0,0,0,0,0,0,0,0,2,0,0
PCA_SD_10076,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_10075,2220,2388,2832,100,205,148,3825,5399,3585,2872,2723,2968
PCA_SD_10074,1337,1263,2079,62,114,62,1935,2721,1752,2473,1695,1726
PCA_SD_10079,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_10078,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_10082,4401,4946,5396,440,834,663,16782,20284,16760,8642,29447,6159
PCA_SD_10083,2781,2930,3892,226,538,426,9493,12196,9238,12275,5331,9878
PCA_SD_10080,0,3,0,0,0,0,6,8,4,201,27,317
PCA_SD_10081,16,22,23,18,34,24,5963,8308,6321,3522,3011,4146
PCA_SD_10086,2,0,2,0,0,0,4,0,2,0,59,16
PCA_SD_10087,0,0,2,0,0,0,0,0,0,0,28,9
PCA_SD_10084,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_10085,0,2,2,0,0,0,0,6,0,0,2,0
PCA_SD_10088,0,0,0,0,0,0,0,14,6,0,4,10
PCA_SD_10089,0,0,0,0,0,0,0,0,0,0,2,2
PCA_SD_12822,5,4,5,0,0,0,0,4,0,12,0,0
PCA_SD_12823,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12820,1202,1377,1371,131,287,220,5077,5446,5385,4832,4632,4221
PCA_SD_12821,12,20,16,4,6,6,263,275,247,1269,326,965
PCA_SD_12826,741,916,919,165,258,225,3438,3667,3404,7839,8171,5440
PCA_SD_12827,2276,2661,2840,108,123,98,2597,2959,2633,1052,4025,814
PCA_SD_12824,0,0,0,0,0,0,0,0,0,0,2,0
PCA_SD_12825,4,2,2,2,5,10,72,98,91,472,127,450
PCA_SD_12828,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12829,0,0,0,0,0,0,4,10,6,26,126,14
PCA_SD_12817,0,0,0,0,0,0,1,0,0,2,0,16
PCA_SD_12816,0,0,0,0,2,0,2,8,10,72,6,21
PCA_SD_12815,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12814,160,169,234,8,24,8,375,484,327,650,333,328
PCA_SD_12813,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12812,135,174,220,12,18,16,510,500,282,534,664,425
PCA_SD_12811,444,474,614,5,34,23,594,844,615,105,44,210
PCA_SD_12810,1558,1727,2182,67,130,100,2162,2788,1980,3274,1069,2779
PCA_SD_12819,0,0,0,0,0,4,1,0,1,27,15,16
PCA_SD_12818,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12804,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12805,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12806,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12807,2,2,10,0,0,0,6,0,2,14,6,0
PCA_SD_12800,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12801,2,4,2,0,12,5,11461,14888,14410,22,6,38
PCA_SD_12802,2,6,2,0,0,0,6,6,4,20,6,12
PCA_SD_12803,0,0,0,0,0,0,0,0,0,0,2,0
PCA_SD_12808,0,0,0,0,0,0,0,0,0,3,2,0
PCA_SD_12809,1165,1231,1471,40,89,74,2285,2619,2288,1574,2204,1239
PCA_SD_12798,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12799,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12795,0,0,0,0,0,0,0,0,0,0,0,0
PCA_SD_12796,1,0,2,20,38,16,139,192,126,268,166,295
PCA_SD_12797,1791,1897,2556,128,203,180,3903,5175,3754,1770,3728,1283
PCA_SD_05529,2,0,4,0,0,0,10,31,23,12,3,2
PCA_SD_05528,0,2,3,0,0,0,2,11,21,0,0,0
PCA_SD_05523,2,0,2,0,0,0,7,4,6,11,2,48
PCA_SD_05522,0,0,0,0,6,0,187,331,178,6496,2606,5771
PCA_SD_05521,0,0,0,4,6,2,54,163,72,2511,579,2110
PCA_SD_05520,1637,1857,2288,44,82,80,2559,3004,2598,951,2043,637
PCA_SD_05527,2145,2140,3112,36,86,74,2180,2170,2274,3300,1514,2968
PCA_SD_05526,1047,1120,1432,24,50,53,1436,1465,1531,923,1529,620
PCA_SD_05525,0,0,0,0,0,0,2,2,2,77,120,145
PCA_SD_05524,0,0,0,0,4,2,88,120,118,3689,2217,3120
PCA_SD_05552,94,103,129,1,0,0,53,116,102,8,2,0
PCA_SD_05553,998,1134,1015,0,6,2,885,895,984,14,20,2
PCA_SD_05550,0,0,0,0,0,0,0,0,0,0,4,0
