,condition
GS1,GerminatedSpores
GS2,GerminatedSpores
GS3,GerminatedSpores
IT21,2dpi
IT22,2dpi
IT23,2dpi
IT51,5dpi
IT52,5dpi
IT53,5dpi
HS1,Haustoria
HS2,Haustoria
HS3,Haustoria
