Geneid,GS1,GS2,GS3,HE1,HE2,HE3,IT61,IT62,IT63,IT91,IT92,IT93,UG1,UG2,UG3
evm.model.pcontig_148.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_148.13,170,246,267,22,18,9,19,29,14,177,400,153,90,52,75
evm.model.pcontig_148.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_148.14,0,0,1,3,4,1,3,0,1,6,18,16,1,0,0
evm.model.pcontig_148.17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
evm.model.pcontig_148.12,2476,2316,2632,146,470,155,176,368,144,859,3815,1672,1496,1471,1412
evm.model.pcontig_148.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_148.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
evm.model.pcontig_148.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_148.9,33,40,44,28,92,47,1,2,1,12,21,8,55,11,16
evm.model.pcontig_148.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.32,421,370,385,33,198,64,120,162,106,375,1208,446,273,188,248
evm.model.pcontig_095.33,34,26,34,11,46,10,3,6,2,14,54,22,29,19,11
evm.model.pcontig_095.36,2,2,3,8,25,13,37,52,46,69,682,421,0,0,0
evm.model.pcontig_095.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.38,0,0,0,1,0,2,16,18,14,90,199,66,0,0,0
evm.model.pcontig_095.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.6,614,599,611,188,445,167,170,172,142,588,1952,720,472,476,408
evm.model.pcontig_095.18,427,408,489,11,20,6,29,52,21,144,438,185,161,136,142
evm.model.pcontig_095.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.10,0,0,0,1,3,1,6,0,4,132,269,40,0,0,0
evm.model.pcontig_095.11,181,200,212,242,495,220,30,94,41,172,442,159,261,277,218
evm.model.pcontig_095.17,170,193,232,2,6,3,23,27,11,87,209,108,68,40,57
evm.model.pcontig_095.16,103,124,151,1,8,5,8,17,16,45,151,56,41,24,31
evm.model.pcontig_095.13,937,1691,1830,69,183,174,61,238,72,531,6052,1841,416,418,403
evm.model.pcontig_095.40,17,14,16,0,1,0,5,5,4,11,31,20,13,15,11
evm.model.pcontig_095.14,2,2,0,8,61,19,3,1,3,11,37,9,9,13,12
evm.model.pcontig_095.15,0,1,3,0,2,0,0,1,0,0,0,2,0,1,2
evm.model.pcontig_095.43,13,8,14,2,4,1,6,6,4,24,54,20,5,4,2
evm.model.pcontig_095.42,72,56,84,3,9,1,4,6,1,16,36,32,37,41,37
evm.model.pcontig_095.41,245,204,237,156,395,148,109,214,99,366,899,518,237,275,213
evm.model.pcontig_095.44,11,7,3,3,4,0,0,1,0,0,3,0,0,1,0
evm.model.pcontig_095.3,222,170,233,9,21,6,15,13,14,48,242,104,106,114,118
evm.model.pcontig_095.21,686,562,618,164,431,174,429,255,371,1004,4982,2939,144,131,162
evm.model.pcontig_095.25,147,161,217,0,0,0,15,21,14,54,632,363,37,21,33
evm.model.pcontig_095.24,0,0,0,404,914,269,28,8,30,36,157,156,2,0,0
evm.model.pcontig_095.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.28,238,239,266,61,212,78,18,21,25,57,212,103,139,74,135
evm.model.pcontig_095.4,130,101,156,12,33,7,7,14,4,36,165,47,90,64,85
evm.model.pcontig_095.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.5,488,417,495,76,188,65,12,41,15,190,424,119,232,279,242
evm.model.pcontig_095.8,514,535,599,168,469,153,112,147,125,669,2255,938,401,401,326
evm.model.pcontig_095.9,797,797,931,98,233,89,80,96,84,480,2211,923,299,209,240
evm.model.pcontig_095.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.12,15,18,22,0,1,0,1,1,2,3,90,29,0,2,1
evm.model.pcontig_096.10,0,5,13,0,4,0,0,0,0,0,40,13,1,0,0
evm.model.pcontig_096.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_096.1,0,0,0,1,1,0,1,0,0,1,0,2,0,0,0
evm.model.pcontig_097.44,20,29,40,0,2,2,1,3,2,6,37,17,18,11,14
evm.model.pcontig_097.8,4,9,5,3,12,3,1,2,0,3,4,0,3,5,1
evm.model.pcontig_097.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
evm.model.pcontig_097.1,51,56,70,1,5,7,3,4,0,12,12,6,12,18,21
evm.model.pcontig_097.2,121,127,118,6,25,10,10,11,11,73,154,75,28,22,44
evm.model.pcontig_097.3,9817,10693,13158,2,75,72,1,0,2,2,3,0,2919,2253,3056
evm.model.pcontig_097.4,219,222,241,42,93,36,77,91,89,269,826,400,189,219,163
evm.model.pcontig_097.5,6,8,5,1,0,1,0,1,0,5,6,4,0,1,1
evm.model.pcontig_097.6,38,48,30,21,54,21,18,22,23,57,163,98,14,7,18
evm.model.pcontig_097.7,0,3,4,0,1,15,53,1,50,3,3052,2062,0,2,1
evm.model.pcontig_097.10,1068,766,1110,112,240,84,173,141,142,730,2646,1160,715,513,670
evm.model.pcontig_097.16,224,217,215,30,81,27,2,9,4,37,139,52,91,89,74
evm.model.pcontig_097.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.14,1588,1669,1950,5,26,11,51,66,63,264,2201,1321,469,310,476
evm.model.pcontig_097.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.36,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
evm.model.pcontig_097.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.15,113,77,120,6,8,1,5,8,4,40,136,50,41,46,38
evm.model.pcontig_097.26,355,265,358,16,34,11,22,17,18,92,280,117,218,118,158
evm.model.pcontig_097.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.41,2073,1755,2174,44,88,35,18,24,20,752,1169,109,3121,3404,2975
evm.model.pcontig_097.43,2969,3033,3513,6,29,16,2,100,4,492,471,24,812,703,801
evm.model.pcontig_097.42,101,77,106,13,39,15,17,13,9,56,170,60,43,57,65
evm.model.pcontig_097.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.27,1332,1084,1383,39,102,46,75,80,57,249,856,369,611,504,531
evm.model.pcontig_097.23,25,16,26,13,70,31,4,8,1,26,46,23,12,6,13
evm.model.pcontig_097.22,137,112,136,2,2,1,0,0,5,12,42,16,72,60,76
evm.model.pcontig_097.21,51,73,71,27,67,20,6,3,7,52,118,19,17,14,9
evm.model.pcontig_097.28,903,901,967,87,299,102,28,48,28,155,506,175,519,440,514
evm.model.pcontig_097.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.40,1,0,1,2,5,4,1,0,1,1,152,77,0,0,0
evm.model.pcontig_097.39,10,8,4,7,15,7,1,0,1,0,20,12,6,4,3
evm.model.pcontig_104.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.30,48,52,74,0,3,2,3,5,5,28,68,46,46,26,26
evm.model.pcontig_104.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.4,0,2,2,57,105,57,54,15,42,88,451,222,1,0,0
evm.model.pcontig_104.7,1,1,0,0,3,1,1,1,2,0,5,4,1,1,0
evm.model.pcontig_104.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.43,33,40,33,6,21,5,0,4,3,11,38,16,12,9,9
evm.model.pcontig_104.31,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
evm.model.pcontig_104.46,114,53,115,0,1,0,3,13,0,18,58,33,108,91,81
evm.model.pcontig_104.45,6,7,8,0,0,0,0,0,0,2,0,0,1,3,1
evm.model.pcontig_104.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.23,0,0,0,10,11,4,0,0,0,258,210,0,0,0,0
evm.model.pcontig_104.24,34,43,27,1,2,1,0,2,3,18,80,30,18,14,27
evm.model.pcontig_104.20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.27,3,3,2,6,12,3,0,0,0,12,20,5,0,0,0
evm.model.pcontig_104.1,0,0,0,7,18,5,0,0,1,1,3,1,0,0,0
evm.model.pcontig_104.3,0,1,0,194,550,216,9,3,11,39,84,61,0,0,0
evm.model.pcontig_104.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
evm.model.pcontig_104.29,49,40,45,0,2,0,5,8,5,23,48,24,26,18,26
evm.model.pcontig_104.44,25,25,29,7,6,3,0,3,1,8,26,9,15,12,14
evm.model.pcontig_104.40,6,6,5,0,4,2,0,0,3,6,13,5,3,11,6
evm.model.pcontig_104.41,70,72,77,3,4,5,5,10,6,35,138,52,40,29,29
evm.model.pcontig_104.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.42,2892,2626,2836,3,21,25,0,1,0,2,11,6,1794,1617,1647
evm.model.pcontig_104.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
