Geneid,GS1,GS2,GS3,HE1,HE2,HE3,IT61,IT62,IT63,IT91,IT92,IT93,UG1,UG2,UG3
evm.model.hcontig_042_162.5,0,0,0,0,1,0,0,0,0,1,4,2,0,0,0
evm.model.hcontig_042_162.2,1,2,1,99,198,14,0,0,0,2,1203,163,0,1,0
evm.model.hcontig_042_162.3,29,14,23,0,2,1,3,1,0,12,47,22,5,5,8
evm.model.hcontig_042_162.1,707,699,738,91,237,110,29,34,23,165,596,221,364,331,349
evm.model.hcontig_042_162.14,4,7,6,6,7,7,2,0,5,4,265,137,19,14,17
evm.model.hcontig_042_162.15,39,43,41,7,16,9,5,1,3,38,1184,408,28,25,36
evm.model.hcontig_042_162.16,207666,288728,240282,65,1622,1455,15,14,15,12,1,10,113357,89937,97424
evm.model.hcontig_042_162.10,809,693,846,287,601,251,95,118,61,486,1106,468,369,285,340
evm.model.hcontig_042_162.11,813,736,813,202,461,182,180,142,141,636,2129,911,290,219,327
evm.model.hcontig_042_162.12,1083,1041,1058,85,341,99,122,152,125,464,1605,676,427,369,438
evm.model.hcontig_042_162.13,364,418,433,30,76,34,18,0,26,306,1036,331,185,121,143
evm.model.hcontig_083_167.3,16,24,19,22,29,12,28,15,20,80,274,106,26,21,29
evm.model.hcontig_083_167.6,195,154,187,7,34,4,18,27,8,56,302,106,53,46,71
evm.model.hcontig_083_167.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.hcontig_083_167.4,3,9,6,4,4,1,8,11,9,19,101,59,5,8,10
evm.model.hcontig_083_167.5,9,13,18,1,9,1,0,0,0,721,633,1,12,13,11
evm.model.hcontig_042_168.14,1088,921,1317,2,8,0,117,147,110,773,6560,2293,453,322,369
evm.model.hcontig_042_168.12,1289,1271,1462,308,855,313,116,237,101,901,2405,728,440,284,409
evm.model.hcontig_042_168.15,266,215,310,0,4,0,25,24,20,165,1416,504,99,69,75
evm.model.hcontig_042_168.13,384,335,422,14,35,14,27,74,28,265,644,195,134,97,116
evm.model.hcontig_042_168.11,21524,27048,29165,10,258,205,3,3,3,1,0,2,12849,11910,11479
evm.model.hcontig_042_168.18,236,268,306,8,25,12,13,23,15,147,1051,400,87,80,106
evm.model.hcontig_042_168.19,1144,1376,1283,501,1036,418,75,85,71,556,3933,1343,475,406,497
evm.model.hcontig_042_168.21,1816,1732,1912,475,1119,463,46,140,47,434,838,382,724,464,568
evm.model.hcontig_042_168.20,995,744,1094,77,262,78,51,68,64,360,833,453,469,436,407
evm.model.hcontig_042_168.3,65,78,110,97,276,147,94,63,91,253,1126,470,42,35,40
evm.model.hcontig_042_168.9,155,172,174,202,446,202,601,171,544,920,6962,3745,22,16,26
evm.model.hcontig_042_168.16,1002,837,1176,4,13,5,86,123,88,597,5263,1801,359,305,349
evm.model.hcontig_042_168.17,443,414,506,10,26,15,40,42,30,245,1958,696,140,115,158
evm.model.hcontig_042_168.10,37679,49010,50650,13,424,365,3,2,4,3,2,4,22907,20453,19516
evm.model.hcontig_042_168.4,3201,3104,3396,95,213,119,84,91,81,248,949,440,1283,1096,1141
evm.model.hcontig_042_168.5,1,1,1,13,35,13,0,0,0,4,5,1,0,0,0
evm.model.hcontig_042_168.6,3,2,1,512,1508,511,133,68,105,161,433,438,3,3,0
evm.model.hcontig_042_168.7,382,393,385,104,376,153,175,107,158,505,2036,1058,162,130,180
evm.model.hcontig_042_168.1,423,323,471,0,0,0,13,77,10,257,778,237,153,141,178
evm.model.hcontig_042_168.8,44,124,131,19,34,14,8,9,3,216,1099,226,84,101,84
