"GS1"	"GS2"	"GS3"	"HE1"	"HE2"	"HE3"	"IT61"	"IT62"	"IT63"	"IT91"	"IT92"	"IT93"	"UG1"	"UG2"	"UG3"
"evm.model.hcontig_014_192.6"	-0.883841539484049	-0.50254477038008	0.13100218481811	0.193992314735523	-1.25270724291127	-0.779653808368143	-0.601631120933338	-0.753054193242047	-0.562211214297708	-1.3767075345618	-0.603874403493727	-0.717463294466561	-1.36873043743304	0.0426051642103809	-0.498263512602131
"evm.model.hcontig_014_192.5"	-2.00723984044737	-2.00631432249694	-2.00838242749587	-1.81352217532687	-1.93000089325026	-1.81019360480845	-1.76510691077929	-1.80345688643977	-1.75512327726185	-1.97117217563467	-1.7493383995592	-2.00230880563915	-1.96193468881914	-1.93661517228783	-1.70367374291438
"evm.model.hcontig_014_192.3"	-1.57081379283232	-1.5656954521396	-1.57684408516781	-0.905142677617322	-0.502206952110612	-0.892540227923107	-0.721835479372231	-0.867034037239894	-0.684035998041524	0.049017281425527	0.502270432072315	-0.831951113181871	-0.649090653881295	-0.533488072267282	-1.43546573411312
"evm.model.hcontig_014_192.8"	-2.10675351683343	-1.87814987414625	-2.10685996571465	-1.98441225200865	-2.05093065823466	-1.98251137938708	-1.95676337080415	-1.9786641892989	-1.95106193966064	-2.07444266227554	-2.1072914823462	-2.09405178758407	-2.069167338925	-2.05470792594293	-2.06440277790961
"evm.model.hcontig_014_192.10"	-0.451203936484789	-1.89809001183043	-1.20385768132288	-1.0447975580992	-1.54519833385005	-1.0304977847221	0.236862480161973	-1.00155636814574	0.279752872896415	-1.7220730626513	-0.448617242960438	-0.490648930293437	-1.68238816869911	-1.57361374243664	-1.6465456077677
"evm.model.hcontig_049_206.5"	0.795401706757914	1.61486700711856	1.19673626413169	5.0033581878391	5.21123673540628	4.52376452069172	2.98654126117925	0.268989635615053	3.61704919776975	10.3437841398299	9.13377061279162	4.02978803082988	3.11737880674087	2.57082858034755	1.85154615876924
"evm.model.hcontig_049_206.2"	10.2546181857283	10.2536697676817	10.1690453264769	11.6841912686903	11.6816643052679	11.612093841254	11.1786434696483	11.1610813601804	11.2454286695659	10.7871545179999	11.187952587417	11.2743612758214	11.3991107229333	11.2973189787591	11.1636156300656
"evm.model.hcontig_049_206.3"	3.63916862211475	4.34189773300244	4.20850607138977	4.85034987761058	5.37520592125799	6.22983769739187	7.07438181554588	6.98094406565813	6.98239998534799	7.53804030796796	6.76915293120478	6.87471266994046	5.70390886777534	5.30131156370853	5.57134439774345
"evm.model.hcontig_049_206.4"	2.22193393533869	3.24740818136615	3.03380875284701	5.48065433013319	5.22918372129233	5.43845638296498	5.93311415141765	5.7364910647532	6.04268394314457	6.25659592101643	5.52379425273707	5.21934415152224	4.18788924415121	3.97048457585722	4.21868078274035
"evm.model.hcontig_020_215.2"	11.468051708045	11.6556135153419	11.4664284762837	11.0004754294427	11.1319486867067	11.0938818262016	11.7143379285782	11.6033080846869	11.9090922475133	11.0166623109248	11.1884014808684	11.430719958132	11.8925089913088	11.5218214412015	11.7906047819702
"evm.model.hcontig_057_232.2"	4.11759726128477	3.59068310891235	4.02857961019874	3.78070032151032	4.56203974987156	5.10103919300182	5.88507528570011	6.18704495904785	6.61625018343927	6.54247778255825	6.45254126170691	6.46021919480121	5.93665892940202	5.86362655657266	6.06402619104199
"evm.model.hcontig_031_159.9"	10.3378111298369	10.4044746651186	10.4794056701168	9.59988479315406	9.46015906889017	9.20009497636467	8.6918645806936	9.08731369392734	8.66895887484133	9.35935309366414	9.31566788105766	8.97128558653851	10.0959780651036	10.1157384020449	10.1147119987732
"evm.model.hcontig_031_159.8"	9.18812771556534	9.10278242553792	9.15042415211378	8.34538496010199	8.6029146376463	8.85295421535182	8.16769801032601	8.77743635546463	7.9235858369844	8.66717719172119	8.97783637268153	9.14880895379441	9.09866091877269	9.34935274092396	9.11309605345448
"evm.model.hcontig_031_159.10"	8.55317448089481	8.40834326667804	8.36557745797454	8.27617026250051	8.19837789288401	8.29029867230288	10.4618419652172	8.4587228601388	10.4232218287707	9.20146408832264	9.9759746153213	10.5515560640186	7.70379680019969	7.49742254873167	7.70450319330049
"evm.model.hcontig_031_159.11"	7.70280974764731	7.68240755823616	7.49255363663167	7.24046368883217	7.25975765437406	7.53893496301572	8.42903534205412	7.7109743720133	8.14057895240693	8.13629924917572	8.10228554247007	8.46133267727045	7.30036326763401	6.90930850176689	7.23185175136106
"evm.model.hcontig_031_159.4"	-1.99262569932506	-1.99242010356369	-1.72385054517842	-1.82003825989984	-1.91809218321464	-1.81723620812437	-1.7792814012921	-1.81156511491445	-1.7708769952961	-1.95275092463682	-1.99386768806794	-1.77632506459714	-1.94497463863385	-1.92366020474764	-1.93795126079096
"evm.model.hcontig_017_160.11"	8.40016764114068	8.42771799101048	8.39317870089955	8.84692262834252	9.24540356039338	8.90792654169187	8.62460648659937	9.05191670434419	8.6544190203735	8.40840960358854	8.41151983833806	8.38215422949591	9.47868476756832	9.93902307259558	9.32860121155951
"evm.model.hcontig_017_160.13"	5.03317813687477	4.62092383147034	4.93065936448095	1.81558107384522	2.70572368683541	0.380366078988804	3.54385075230464	4.04327916917797	4.76216055664258	4.40558157233067	5.34104952802445	5.44811534344012	4.45959549748642	3.84362731239937	4.45306562076054
"evm.model.hcontig_017_160.18"	6.81467820896196	6.78347198047916	6.78020348835735	7.11212957972147	7.73904842253981	6.83631320015098	5.53146509246587	6.32810621033351	5.24905104493319	6.90114531205015	6.71002532121975	6.82357431993901	5.9539900052034	6.20234040723791	6.27652837821766
"evm.model.hcontig_017_160.14"	5.27028150532953	4.98883298437868	5.01342870287703	3.98125199767554	2.74040980522999	3.490278769272	4.88352069582969	4.2930485905055	4.36229799324914	4.61260669509836	5.40338072035269	5.76679590717295	4.44889893073773	4.8188135184777	4.58755797313605
"evm.model.hcontig_017_160.16"	9.63473798872562	9.4643923103796	9.37772819014398	9.16920236677441	8.71069914785099	8.62303801474393	7.14713722213744	7.16520740769616	6.40008447420081	8.10527912419397	6.99172086290975	6.50051905113121	10.1681121328407	10.7270444193386	10.2515005543426
"evm.model.hcontig_017_160.17"	9.98019754362818	9.61246201465213	9.79676673605662	6.99313904940164	7.11552847182934	6.63598929330957	6.650676393026	7.93354419080854	7.21937951921275	8.57811050179105	7.29945429456576	7.06341222922737	10.5583007940913	11.1605710679244	10.6544486858835
