Geneid,GS1,GS2,GS3,HE1,HE2,HE3,IT61,IT62,IT63,IT91,IT92,IT93,UG1,UG2,UG3
evm.model.pcontig_148.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_148.13,170,246,267,22,18,9,19,29,14,177,400,153,90,52,75
evm.model.pcontig_148.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_148.14,0,0,1,3,4,1,3,0,1,6,18,16,1,0,0
evm.model.pcontig_148.17,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1
evm.model.pcontig_148.12,2478,2316,2632,146,470,155,176,368,144,859,3816,1672,1496,1470,1411
evm.model.pcontig_148.1,222,200,224,19,59,26,54,165,46,352,1010,471,120,115,146
evm.model.pcontig_148.2,789,933,850,1105,2614,885,279,438,252,917,3774,1595,927,978,842
evm.model.pcontig_148.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_148.9,33,40,44,28,92,47,1,2,1,12,21,8,55,11,16
evm.model.pcontig_148.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.39,0,0,0,1065,976,338,71,0,91,19,172,378,0,0,0
evm.model.pcontig_095.35,2155,2082,2042,390,1023,382,281,606,227,1188,3315,1601,882,813,768
evm.model.pcontig_095.32,3477,3006,3160,208,1021,320,724,894,656,2581,8590,3521,2004,1470,1722
evm.model.pcontig_095.33,1681,1435,1726,243,586,234,212,271,190,752,2203,902,907,539,754
evm.model.pcontig_095.36,25,57,93,849,1490,606,588,792,599,812,10536,5811,1,4,2
evm.model.pcontig_095.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.38,2,0,1,45,91,39,203,267,196,1139,2762,962,1,0,0
evm.model.pcontig_095.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.6,614,599,611,188,445,167,170,172,142,588,1952,720,472,476,408
evm.model.pcontig_095.18,428,408,489,11,20,6,29,52,21,144,438,185,161,136,142
evm.model.pcontig_095.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.10,0,0,0,1,3,1,6,0,4,132,269,40,0,0,0
evm.model.pcontig_095.11,181,200,212,242,495,220,30,94,41,172,442,159,261,277,218
evm.model.pcontig_095.17,170,193,233,2,6,3,23,27,11,87,209,108,68,40,57
evm.model.pcontig_095.16,102,124,151,1,8,5,8,17,16,44,151,55,40,24,31
evm.model.pcontig_095.13,936,1691,1830,69,183,174,61,238,72,531,6052,1841,416,418,403
evm.model.pcontig_095.40,131,139,145,8,28,10,32,44,28,109,280,111,82,94,92
evm.model.pcontig_095.14,2,2,0,8,61,19,3,1,3,11,37,9,9,13,12
evm.model.pcontig_095.15,0,1,3,0,2,0,0,1,0,0,0,2,0,1,2
evm.model.pcontig_095.43,30,23,43,6,29,11,10,19,10,63,142,48,15,7,11
evm.model.pcontig_095.42,153,128,161,4,13,2,8,9,7,35,83,52,72,65,76
evm.model.pcontig_095.41,303,276,322,185,463,189,137,270,122,497,1221,674,321,345,267
evm.model.pcontig_095.44,18,12,9,4,7,0,0,1,1,0,12,2,1,1,0
evm.model.pcontig_095.3,256,197,267,12,28,7,16,14,16,62,275,127,125,135,138
evm.model.pcontig_095.21,685,562,617,164,431,174,429,255,371,1004,4978,2939,144,131,162
evm.model.pcontig_095.25,3398,3897,5088,22,77,43,559,478,527,1256,15371,9054,746,656,884
evm.model.pcontig_095.24,0,1,0,827,1814,555,60,21,80,81,347,333,2,0,0
evm.model.pcontig_095.27,1704,1996,2090,820,1950,651,277,308,313,829,3948,1675,1883,1151,1589
evm.model.pcontig_095.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.28,1954,1960,2070,244,688,256,149,132,153,478,1858,883,1163,603,1038
evm.model.pcontig_095.4,130,102,157,12,33,7,7,14,4,37,166,47,91,64,85
evm.model.pcontig_095.46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.5,488,416,495,76,188,65,12,41,15,190,424,119,232,279,242
evm.model.pcontig_095.8,643,681,776,259,630,227,155,222,167,887,3256,1368,501,490,398
evm.model.pcontig_095.9,798,797,931,98,233,89,80,96,84,480,2211,923,299,209,240
evm.model.pcontig_095.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_095.12,15,18,22,0,1,0,1,1,2,3,90,29,0,2,1
evm.model.pcontig_096.10,0,5,13,0,4,0,0,0,0,0,40,13,1,0,0
evm.model.pcontig_096.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_096.1,0,0,0,1,1,0,1,0,0,1,0,2,0,0,0
evm.model.pcontig_097.44,20,29,40,0,2,2,1,3,2,7,37,17,18,11,14
evm.model.pcontig_097.8,4,9,5,3,12,3,1,2,0,3,4,0,3,5,1
evm.model.pcontig_097.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
evm.model.pcontig_097.1,51,56,70,1,5,7,3,4,0,12,12,6,12,18,21
evm.model.pcontig_097.2,121,127,118,6,25,10,10,11,11,73,154,75,28,22,44
evm.model.pcontig_097.3,9817,10693,13157,2,75,72,1,0,2,2,3,0,2919,2253,3056
evm.model.pcontig_097.4,219,222,241,42,93,36,77,91,89,269,827,400,189,219,163
evm.model.pcontig_097.5,6,8,5,1,0,1,0,1,0,5,6,4,0,1,1
evm.model.pcontig_097.6,38,48,30,21,54,21,18,22,23,57,164,98,14,7,18
evm.model.pcontig_097.7,0,3,4,0,1,15,54,1,50,3,3059,2063,0,2,1
evm.model.pcontig_097.10,1068,766,1111,112,241,84,173,141,142,731,2647,1160,715,513,670
evm.model.pcontig_097.16,224,217,215,30,81,27,2,9,4,37,140,52,92,89,74
evm.model.pcontig_097.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.14,1588,1670,1950,5,26,11,51,66,63,264,2201,1321,469,310,477
evm.model.pcontig_097.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.38,282,378,461,56,100,33,27,9,13,92,273,125,73,43,70
evm.model.pcontig_097.30,2,6,8,2,4,1,0,0,0,0,3,1,2,0,2
evm.model.pcontig_097.31,1,1,2,0,3,0,0,0,0,8,7,0,0,0,0
evm.model.pcontig_097.36,0,0,0,0,1,1,0,0,0,1,0,4,0,0,0
evm.model.pcontig_097.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.15,113,77,120,6,8,1,5,8,4,40,136,50,41,46,38
evm.model.pcontig_097.26,355,265,358,16,34,11,22,17,18,92,280,117,218,118,158
evm.model.pcontig_097.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.41,2073,1755,2174,44,88,35,18,24,20,752,1169,109,3121,3404,2975
evm.model.pcontig_097.43,2970,3033,3513,6,30,16,2,100,4,492,471,24,812,703,801
evm.model.pcontig_097.42,102,80,107,13,39,15,17,14,9,56,170,60,43,57,65
evm.model.pcontig_097.29,0,1,0,0,2,1,0,0,0,1,0,0,0,1,1
evm.model.pcontig_097.27,1331,1084,1383,39,102,46,75,80,57,249,856,369,611,504,531
evm.model.pcontig_097.23,25,16,26,13,70,31,4,8,1,26,46,23,12,6,13
evm.model.pcontig_097.22,137,112,136,2,2,1,0,0,5,12,42,16,72,60,76
evm.model.pcontig_097.21,51,73,71,27,67,20,6,3,7,52,118,19,17,14,9
evm.model.pcontig_097.28,903,901,967,87,299,102,28,48,28,155,506,175,519,440,514
evm.model.pcontig_097.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_097.40,1,0,1,2,5,4,1,0,1,1,153,77,0,0,0
evm.model.pcontig_097.39,10,8,4,7,15,7,1,0,1,0,20,12,6,4,3
evm.model.pcontig_104.33,0,0,0,21,61,20,0,0,0,4,49,26,0,0,0
evm.model.pcontig_104.32,3,3,3,0,0,0,0,1,1,2,7,4,1,0,0
evm.model.pcontig_104.30,48,52,74,0,3,2,3,5,5,28,68,46,46,26,26
evm.model.pcontig_104.39,0,1,0,3,9,28,10,0,10,3,938,470,1,0,0
evm.model.pcontig_104.4,0,2,2,57,105,57,54,15,42,88,451,222,1,0,0
evm.model.pcontig_104.7,1,1,0,0,3,1,1,1,2,0,5,4,1,1,0
evm.model.pcontig_104.6,0,0,0,4,5,2,0,0,0,1,0,2,0,0,0
evm.model.pcontig_104.43,1073,1283,1375,120,296,111,139,68,111,402,2087,1012,393,261,451
evm.model.pcontig_104.31,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
evm.model.pcontig_104.46,1459,891,1464,10,66,15,27,126,24,199,626,360,1100,1063,941
evm.model.pcontig_104.45,3177,2853,3467,41,169,63,56,92,61,331,1472,580,1568,1229,1446
evm.model.pcontig_104.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.23,0,0,0,10,11,4,0,0,0,258,210,0,0,0,0
evm.model.pcontig_104.24,235,262,232,2,22,7,6,14,17,116,576,198,118,114,110
evm.model.pcontig_104.20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
evm.model.pcontig_104.27,3,3,2,6,12,3,0,0,0,12,20,5,0,0,0
evm.model.pcontig_104.1,0,0,0,7,18,5,0,0,1,1,3,1,0,0,0
evm.model.pcontig_104.3,0,1,0,194,550,216,9,3,11,39,84,61,0,0,0
evm.model.pcontig_104.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
evm.model.pcontig_104.29,49,40,45,0,2,0,5,8,5,23,48,24,26,18,26
evm.model.pcontig_104.44,125,121,146,10,22,7,13,21,8,60,163,70,92,73,83
evm.model.pcontig_104.40,44,25,41,1,8,5,6,18,11,54,107,52,23,27,23
evm.model.pcontig_104.41,306,315,376,25,79,27,27,31,21,154,521,192,162,134,135
evm.model.pcontig_104.47,0,0,0,6,26,13,0,0,0,7,5,3,2,0,0
