"Spores" "UngerminatedSpores" "Haustoria" "X6dpi" "X9dpi" ""
"evm.model.hcontig_042_168.4" 1.408710180834 1.112842212524 -0.830332728646001 -0.602133445906 -1.089086218806 1
"evm.model.hcontig_034_144.2" 0.71440607658 1.54278203437 -1.24468396247 -0.4790831133 -0.53342103518 1
"evm.model.hcontig_047_145.4" 2.73442321139 3.36507454156 -1.67330697117 -2.160889953815 -2.265300827965 1
"evm.model.hcontig_001_156.3" 1.482837496554 1.002836503694 0.595991421084 -2.397788779166 -0.683876642166 1
"evm.model.hcontig_027_102.14" 1.56701266858 1.50803234568 1.78891118948 -3.99623011761 -0.867726086129998 1
"evm.model.hcontig_052_105.11" 3.48936172518 0.64511648593 2.20258770147 -3.59292659539 -2.74413931719 1
"evm.model.hcontig_052_105.4" 3.273971555934 0.995466217714 -0.661211053765999 -2.112825204266 -1.495401515616 1
"evm.model.hcontig_066_107.26" 1.510329093148 1.069080171168 -1.057256100712 -1.770658020132 0.248504856528 1
"evm.model.hcontig_040_109.23" -1.0113972505442 2.6599708164158 -0.1302235357242 -2.6423315130832 1.1239814829358 1
"evm.model.hcontig_040_109.30" 0.67157794858 1.186170835367 -0.229647610542 -0.235500603742 -1.392600569663 1
"evm.model.hcontig_050_121.4" 5.3124693208746 -2.6222537777274 0.5008989247946 -2.1301150062664 -1.0609994616754 1
"evm.model.hcontig_008_093.41" 2.3128761242338 -0.3439538265162 -0.8628421479992 -0.7234982627722 -0.3825818869462 1
"evm.model.hcontig_008_093.35" 1.044273387817 0.581261316787 -0.134603928283 -1.236947573908 -0.253983202413 1
"evm.model.hcontig_050_053.5" 1.299836766998 2.508944941468 0.572150122808 -2.143601665012 -2.237330166262 1
"evm.model.hcontig_054_038.14" 1.41944998423 2.87515612521 -3.43746518159 -2.97247752439 2.11533659654 1
"evm.model.hcontig_147_001.3" 2.915088844242 2.371858228342 -2.296618090168 -1.686021855558 -1.304307126858 1
"evm.model.hcontig_073_004.2" 2.482260150394 2.424882894154 -0.243338021036 -1.785036112486 -2.878768911026 1
"evm.model.hcontig_078_002.22" 2.74343378064452 2.37412145463452 -1.18186507855048 -1.86001886837248 -2.07567128835608 1
"evm.model.hcontig_078_002.29" 1.7983325145238 1.7595988246238 -1.2593208667362 -1.6905250967952 -0.6080853756162 1
