"Spores" "Haustoria" "X2dpi" "X5dpi" ""
"PCA_SD_00044" -0.988724657912499 1.5265207723375 0.189825606337502 -0.7276217207625 1
"PCA_SD_00231" -0.223033012825001 1.216267742675 -0.600891685724999 -0.392343044124999 1
"PCA_SD_00267" -0.755467272033 0.688361688592 0.106292936577 -0.039187353136 1
"PCA_SD_02120" -1.0130439677615 0.6711672660415 0.4599753494075 -0.1180986476875 1
"PCA_SD_02096" -1.555379598505 1.779866591885 0.355170394815 -0.579657388195 1
"PCA_SD_00908" -2.56325273970175 3.01513744367725 -0.99436128142275 0.54247657744725 1
"PCA_SD_00866" -1.03004199526 1.59931678186 -0.76697183117 0.19769704457 1
"PCA_SD_00860" -2.08155290609675 0.69888005005225 1.28156382308225 0.10110903296225 1
"PCA_SD_00497" -2.0912753010675 0.0579747772225012 1.3480548193225 0.685245704522501 1
"PCA_SD_00547" -1.63980327546675 3.21990767613325 0.42634879833025 -2.00645319899675 1
"PCA_SD_00525" -0.6341276121025 0.824153738327501 0.100095087087501 -0.290121213312499 1
"PCA_SD_01038" -1.9889158248365 1.3169259387555 -0.1859615871245 0.8579514732055 1
"PCA_SD_01033" -2.778480781 1.91450818727 0.58502947458 0.27894311915 1
"PCA_SD_02528" -0.95017546637 3.31512465147 -0.95276250888 -1.41218667622 1
"PCA_SD_01183" 0.396509222250001 0.840697378750001 -1.42236916009 0.18516255909 1
"PCA_SD_01168" -1.78560180599275 0.0411074921542496 -0.0584534027557502 1.80294771659425 1
"PCA_SD_01208" -0.4863950454475 -0.2598917577175 1.1298404213425 -0.3835536181775 1
"PCA_SD_01091" -1.36331588556 2.53794599151 -0.73634552805 -0.438284577900001 1
"PCA_SD_01094" -1.062586956525 3.292721399565 -0.183383731815 -2.046750711225 1
"PCA_SD_01198" -2.2633295937 2.91740551629 -0.61109152233 -0.0429844002599999 1
"PCA_SD_00769" -0.881662081475 1.488928019925 0.0352800891250009 -0.642546027574999 1
"PCA_SD_00641" -0.781828720635 1.015117528765 -0.0167658105249995 -0.216522997605 1
"PCA_SD_00645" -1.455168239845 2.995140225375 -1.138063319535 -0.401908665995 1
"PCA_SD_00646" -2.963667331118 1.842481004156 1.075691865596 0.0454944613659998 1
"PCA_SD_00734" -1.4931371824 1.1717728808 0.4094101593 -0.0880458576999992 1
"PCA_SD_00706" -0.0615547149774995 1.6902700114025 -3.9739009616875 2.3451856652625 1
"PCA_SD_00779" -0.215450276932499 0.9925418841575 -0.422604966382499 -0.3544866408425 1
"PCA_SD_01372" -0.7638344651825 0.0990931393375005 0.6598777354275 0.00486359041750095 1
"PCA_SD_01439" -2.2437833846925 2.6533879674575 -1.2643081908525 0.8547036080875 1
"PCA_SD_01438" -2.549767041065 0.904282306205 1.561969798315 0.0835149365449999 1
"PCA_SD_01478" -1.760798721557 2.674714760153 0.110342123368 -1.024258161964 1
"PCA_SD_01663" -1.20004285768475 -0.25722523935175 0.81443320375325 0.64283489328325 1
"PCA_SD_01765" -0.9314588376025 2.3991649393075 -0.3259988757725 -1.1417072259325 1
"PCA_SD_01885" -2.17923520270475 2.66392483710825 0.18589629057825 -0.67058592498175 1
"PCA_SD_01859" -1.04650675755 0.60732591475 0.43566960495 0.00351123785000063 1
"PCA_SD_01567" -1.486980716575 0.773256107925 0.657845516925001 0.0558790917250001 1
"PCA_SD_01576" -1.46919130911 1.2865974085 -1.1265332358 1.30912713641 1
"PCA_SD_01527" -1.6976141825975 1.1739900201325 -0.249697316967501 0.7733214794325 1
"PCA_SD_01526" -2.35217516271 0.72597781025 0.36063871944 1.26555863302 1
"PCA_SD_01533" -1.6530099236525 0.9468984699775 0.0855883431975002 0.6205231104775 1
"PCA_SD_02208" -0.88701461402775 1.21228723511825 0.01089450541825 -0.33616712650875 1
"PCA_SD_02272" -1.6005305687475 -0.2929878203875 -0.00922689797749987 1.9027452871125 1
"PCA_SD_02001" -1.52150583118 1.80988651936 0.139543811959999 -0.42792450014 1
"PCA_SD_01984" -1.66616991215 1.44277898406 2.3032592384 -2.07986831031 1
"PCA_SD_01908" -2.31783330406075 2.74537397251925 -0.27742336345775 -0.15011730500075 1
"PCA_SD_02669" -2.146524932465 0.242804336565 0.559005855095 1.344714740805 1
"PCA_SD_02691" -1.0917984714255 -0.1202114342315 0.5958358508085 0.6161740548485 1
"PCA_SD_02826" -0.660125760608 1.299424287546 -0.171637709105 -0.467660817833 1
"PCA_SD_03443" -1.28921103486 0.6160326764 0.9751064451 -0.30192808664 1
"PCA_SD_02871" -0.662670949924999 0.887529322675 -0.261686051824999 0.0368276790750013 1
"PCA_SD_04915" -0.7132080420175 1.6429022310725 -0.5105257962475 -0.4191683928075 1
"PCA_SD_04977" -0.91219494038175 2.02862319269025 0.04567881957025 -1.16210707187875 1
"PCA_SD_04962" -2.183670563822 1.109905526104 0.630165081704 0.443599956014 1
"PCA_SD_04089" -2.13211115720575 0.0927945354692501 -0.24831205010275 2.28762867183925 1
"PCA_SD_04385" -1.6456303585825 0.7406673207275 0.598379619427499 0.306583418427499 1
"PCA_SD_02581" -1.07711088929 2.19489384412 -0.90638597024 -0.21139698459 1
"PCA_SD_02385" -1.1774102477225 0.891017681247501 0.287702234207501 -0.00130966773249952 1
"PCA_SD_02350" -1.24467762129775 2.04564016213225 0.24740182857725 -1.04836436941175 1
"PCA_SD_02362" -1.0226181531075 0.8164792789525 -1.0168382702375 1.2229771443925 1
"PCA_SD_02315" -2.10401786494325 1.92181585692775 0.10776009344775 0.07444191456775 1
